B00007AVYI,A0068533X8Y5TYUJWWIC,5.0,1401148800
B001LF4EVO,A02292976AOUT3I4ZLFA,5.0,1383004800
B000PIT0RG,A0328927TA7ECTIKNP3G,4.0,1398643200
B00005N7TG,A0333047WGK24IZKLDP2,4.0,1411603200
B000IOEK7M,A0479411TZTHITJ9TFB8,5.0,1446076800
B00005N7Q5,A0534350D18UHJKPKZ1W,5.0,1437177600
B001LF4EVO,A0540974HOUD6MJ5Z0P7,5.0,1388707200
B000HWY1PG,A0743345UFTOA4V1Z7W,5.0,1412035200
B000K0YFUQ,A07456856U64LDNYL2U6,5.0,1490140800
B00005N7RO,A095896256EBDK3E42GW,1.0,1405641600
B005KTMN3I,A09643921E186LVHYON2,1.0,1409961600
B00005N7SA,A1000EWBXBHK0P,5.0,1406764800
B00005N7U1,A1000EWBXBHK0P,3.0,1412985600
B000066T0Y,A1000LIQD5GSF0,1.0,1524182400
B000W3MB5M,A1002NCO900A9R,5.0,1245196800
B000W3MB5M,A1002NCO900A9R,5.0,1245196800
B00005NIP7,A1004SSKOL3XO0,5.0,1170892800
B00005NINY,A10065CA0GBMYO,5.0,1433289600
B00005N7SC,A1008WMRGO1W67,1.0,1516924800
B00005N7SH,A100ALUJWBXF0Y,4.0,1215043200
B00006KJGD,A100B5XJACAFE4,5.0,1429488000
B00170BDVC,A100KABITNCJQZ,5.0,1306886400
B0045VPFE6,A100KCG25G8KZK,5.0,1405814400
B00005N7OD,A100NRVPI4UOH,1.0,1470700800
B00005R8BA,A100OJ8LFVPMPT,5.0,1503187200
B000IOE9Y6,A100OJ8LFVPMPT,5.0,1503187200
B005UGNKAG,A100OVGPGBBDX8,5.0,1433376000
B000066HVN,A100Q969GD4LW3,3.0,1308355200
B00007AX0S,A100TCYNBO00XY,5.0,1465603200
B00005N7Q1,A100WO06OQR8BQ,2.0,1467936000
B0008FV2NG,A100XFZ94PFIL5,5.0,1181347200
B000ILVRWQ,A1013KROGF29UD,4.0,1395100800
B000IOE9Y6,A1013KROGF29UD,5.0,1397260800
B00006KDRR,A1016MYYF5QSTY,5.0,1340582400
B00006LK8F,A1016MYYF5QSTY,5.0,1291075200
B0160CN1YI,A1016MYYF5QSTY,5.0,1340582400
B00005N7R5,A1017B2VVHXIE,2.0,1410998400
B000PUAICA,A1018DRDRIPK8S,4.0,1393891200
B001O2SCKI,A101AF3PWTCCFZ,3.0,1439078400
B000AQMTHQ,A101AXJVYM5ZQ2,1.0,1389312000
B000EGCIW8,A101DL1VAR32MF,5.0,1500681600
B00007IJZT,A101DRAPV86C7D,2.0,1410307200
B00005N7Q1,A101IPYUEHLAQJ,5.0,1405728000
B000IMVNQU,A101MMZOSZKB,5.0,1500940800
B00005N7R5,A101MSOLD49882,4.0,1441411200
B00005NIPX,A101UMY5QNK67V,4.0,1415059200
B00005NIPP,A101UY1PGD6K1I,5.0,1227484800
B000ILVEZQ,A101VNNH2BWI61,4.0,1467158400
B00009ALKG,A101X4WMS4DHP6,5.0,1417996800
B015W2X2U0,A101YQQX6D1RXC,5.0,1474675200
B00005NIOH,A101ZJ0OU9O97A,5.0,1519862400
B00MOMMWOE,A10216JD41Y4ZS,5.0,1412121600
B00HG1BOWO,A1022UB1PE77UQ,4.0,1428710400
B000EGCIW8,A10234UU5035AC,3.0,1468627200
B000O1PKOG,A10234UU5035AC,5.0,1468627200
B00XII1U3M,A10234UU5035AC,5.0,1461715200
B00005R8BR,A1028PSL3PL7B3,1.0,1501113600
B00009MQ5Q,A102ABZF13SEY3,5.0,1420934400
B00005NIPE,A102D7NPKXXS5F,5.0,1491782400
B00005R8BN,A102LXHI5APXGO,1.0,1196035200
B0000VBS8C,A102NV8IBZRDEZ,5.0,1486771200
B00007B1JS,A102OKM3XRPWCX,5.0,1278979200
B00005N7SM,A102RXRXTE07M2,5.0,1357516800
B0000C4CTK,A102VH5Q26GENX,5.0,1423008000
B000060MGT,A102Z9CFJOOZAY,4.0,1168819200
B00007AZWJ,A103291I5Z7TPR,5.0,1341187200
B00005N7SG,A1039FVZD1TS5G,1.0,1201824000
B00005N7OV,A103A5CQEUGYR5,5.0,1438646400
B000IOEK7M,A103BL7KBHGAD4,5.0,1459814400
B000PUAI8E,A103DUZVB9I901,5.0,1375660800
B00WNI41JS,A103EH1V30O6YN,5.0,1469404800
B00007J7R4,A103FRPVQGOC96,5.0,1462406400
B00005N7XQ,A103G9691WG3OY,5.0,1379203200
B000BI1OQA,A103IQMZXXBJVY,4.0,1456272000
B00005NIP7,A103J2GV4DWCOL,4.0,1438128000
B00006KQUE,A103KJ0ZYER0SY,1.0,1281571200
B00005NIOH,A103RCCQN3BPCP,5.0,1461369600
B000ICB4T6,A103RCCQN3BPCP,5.0,1377129600
B00005N7T5,A103RRMELL4XK2,5.0,1322179200
B00005NIQO,A103S0VCB5JEY8,5.0,1386892800
